title,author,binding,list_price,price,stock,isbn,publisher,publication_date,size,categories,url
"ALONG CAME A LADY (ALL THE DUKE'S SINS, BK. 1)","Caldwell, Christi",Pocket Books,$7.99 ,$1.00 ,40,9.78059E+12,Berkley Publishing Group,8/31/21,"6.77"" l x 4.19"" w x 1.00""","['Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780593334911B/along-came-a-lady-all-the-dukes-sins-bk-1
ALONG THE RIO GRANDE (LOVE ON THE SANTA FE),"Peterson, Tracie",Paperback,$16.99 ,$3.00 ,36,9.78076E+12,Bethany House,3/1/22,"8.49"" l x 5.52"" w x 1.10""","['Fiction', 'Historical', 'Fiction', 'Romance', 'Fiction', 'Religious']",https://www.bookdepot.com/Store/Details/9780764237294B/along-the-rio-grande-love-on-the-santa-fe
"ALONG THE RIO GRANDE (LOVE ON THE SANTA FE, BK. 1)","Peterson, Tracie",Hardcover,$24.99 ,$2.44 ,1,9.78076E+12,Bethany House,3/1/22,"8.85"" l x 5.80"" w x 1.24""","['Fiction', 'Religious', 'Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780764237300B/along-the-rio-grande-love-on-the-santa-fe-bk
"ALPHA NIGHT (PSY-CHANGELING TRINITY, BK. 4)","Singh, Nalini",Hardcover,$27.00 ,$2.63 ,12,9.78198E+12,Berkley Hardcover,6/9/20,"9.35"" l x 6.20"" w x 1.33""","['Fiction', 'Romance', 'Fiction', 'Fantasy']",https://www.bookdepot.com/Store/Details/9781984803627B/alpha-night-psy-changeling-trinity-bk-4
"ALWAYS BE MY DUCHESS (TAMING OF THE DUKES, BK. 1)","Howard, Amalie",Paperback,$15.99 ,$2.75 ,14,9.78154E+12,Forever,7/12/22,"7.98"" l x 5.26"" w x 1.10""","['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', 'Humorous']",https://www.bookdepot.com/Store/Details/9781538737712B/always-be-my-duchess-taming-of-the-dukes-bk-1
"ALWAYS HER COWBOY (RUSTLERS CREEK, BK. 3)","Fox, Addison",Pocket Books,$9.99 ,$1.88 ,411,9.78006E+12,Avon Books,5/23/23,"6.52"" l x 4.04"" w x 1.23""","['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', 'Westerns']",https://www.bookdepot.com/Store/Details/9780063135307B/always-her-cowboy-rustlers-creek-bk-3
"ALWAYS, IN DECEMBER","Stone, Emily",Pocket Books,$9.99 ,$2.50 ,114,9.78059E+12,Dell,9/26/23,"7.51"" l x 4.15"" w x 1.04""","['Fiction', 'Holidays', 'Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780593722084B/always-in-december
ALY'S HOUSE,"Meacham, Leila",Paperback,$9.99 ,$1.75 ,1,9.78146E+12,Grand Central Publishing,10/4/16,"8.00"" l x 5.50"" w x 1.00""","['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', 'Family Life']",https://www.bookdepot.com/Store/Details/9781455541379B/alys-house
AMELIA GREY'S FIRESIDE DREAM,"Clements, Abby",Paperback,$10.82 ,$1.75 ,3,9.78178E+12,Quercus,1/1/13,"7.74"" l x 5.06"" w x 1.02""","['Fiction', 'Romance', 'Fiction', 'Humorous']",https://www.bookdepot.com/Store/Details/9781782064305B/amelia-greys-fireside-dream
AMERICAN PRINCESS: A NOVEL OF FIRST DAUGHTER ALICE ROOSEVELT,"Thornton, Stephanie Marie",Paperback,$16.00 ,$2.06 ,619,9.78045E+12,Berkley Publishing Group,3/12/19,"8.02"" l x 5.24"" w x 1.00""","['Fiction', 'Historical', 'Fiction', 'Romance', 'Fiction', 'Biographical']",https://www.bookdepot.com/Store/Details/9780451490902B/american-princess-a-novel-of-first-daughter-a
AMERICAN ROYALTY,"Livesay, Tracey",Paperback,$15.99 ,$1.38 ,92,9.78006E+12,Avon Books,6/7/22,"7.95"" l x 5.27"" w x 1.14""","['Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780063084506B/american-royalty
THE AMISH HAWAIIAN ADVENTURES: TWO AMISH ROMANCES BLOSSOM ON THE ISLAND OF KAUAI,"Brunstetter, Wanda E.",Paperback,$16.99 ,$1.50 ,19,9.78164E+12,Shiloh Run Press,1/1/18,"8.38"" l x 5.54"" w x 1.54""","['Fiction', 'Romance', 'Fiction', 'Religious']",https://www.bookdepot.com/Store/Details/9781643522043B/the-amish-hawaiian-adventures-two-amish-roman
AN AMISH CHRISTMAS STAR,"Gray, Shelley Shepard",Paperback,$16.95 ,$2.87 ,10,9.7815E+12,Kensington Publishing Corporation,9/27/22,"8.17"" l x 5.47"" w x 1.08""","['Fiction', 'Romance', 'Fiction', 'Religious', 'Fiction', 'Holidays']",https://www.bookdepot.com/Store/Details/9781496734259B/an-amish-christmas-star
