begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
2024-02-22T00:00:00Z,144.930000,144.090000,145.000000,142.800000,27191892,reg,False,GOOGL
2024-02-23T00:00:00Z,143.670000,143.960000,144.680000,143.430000,19493752,reg,False,GOOGL
2024-02-26T00:00:00Z,142.140000,137.570000,142.440000,137.390000,53641795,reg,False,GOOGL
2024-02-27T00:00:00Z,138.020000,138.880000,139.250000,137.090000,33099190,reg,False,GOOGL
2024-02-28T00:00:00Z,137.900000,136.380000,138.010000,135.410000,37328558,reg,False,GOOGL
2024-02-29T00:00:00Z,137.280000,138.460000,138.860000,136.400000,42132953,reg,False,GOOGL
2024-03-01T00:00:00Z,138.430000,137.140000,138.870000,136.920000,31151116,reg,False,GOOGL
2024-03-04T00:00:00Z,135.660000,133.350000,135.660000,131.910000,55999415,reg,False,GOOGL
2024-03-05T00:00:00Z,131.880000,132.720000,133.240000,130.665000,40194757,reg,False,GOOGL
2024-03-06T00:00:00Z,133.120000,131.400000,133.580000,130.850000,35318610,reg,False,GOOGL
2024-03-07T00:00:00Z,132.795000,134.470000,134.940000,131.610000,37738209,reg,False,GOOGL
2024-03-08T00:00:00Z,134.210000,135.420000,138.085000,134.000000,39370392,reg,False,GOOGL
2024-03-11T00:00:00Z,136.130000,137.670000,139.095000,136.130000,32437772,reg,False,GOOGL
2024-03-12T00:00:00Z,137.030000,138.500000,139.375000,137.030000,27563354,reg,False,GOOGL
2024-03-13T00:00:00Z,139.000000,139.790000,141.090000,138.990000,23347208,reg,False,GOOGL
2024-03-14T00:00:00Z,141.190000,143.100000,143.585000,140.455000,42753387,reg,False,GOOGL
2024-03-15T00:00:00Z,142.500000,141.180000,143.180000,140.030000,49475417,reg,False,GOOGL
2024-03-18T00:00:00Z,148.610000,147.680000,152.150000,147.170000,69273699,reg,False,GOOGL
2024-03-19T00:00:00Z,148.160000,147.030000,148.791300,146.080000,24070435,reg,False,GOOGL
2024-03-20T00:00:00Z,148.000000,148.740000,148.860000,146.735000,21311501,reg,False,GOOGL
2024-03-21T00:00:00Z,149.470000,147.600000,150.370000,146.900100,24755597,reg,False,GOOGL
2024-03-22T00:00:00Z,149.120000,150.770000,151.580000,148.980000,29211769,reg,False,GOOGL
2024-03-25T00:00:00Z,149.940000,150.070000,150.375000,147.820000,19229285,reg,False,GOOGL
2024-03-26T00:00:00Z,150.220000,150.670000,152.256000,149.980000,22149137,reg,False,GOOGL
2024-03-27T00:00:00Z,151.180000,150.870000,151.635000,148.900000,22879178,reg,False,GOOGL
2024-03-28T00:00:00Z,150.850000,150.930000,151.430000,150.170000,24485390,reg,False,GOOGL
2024-04-01T00:00:00Z,150.690000,155.490000,155.740000,150.610000,31730848,reg,False,GOOGL
2024-04-02T00:00:00Z,153.500000,154.560000,154.700000,152.150000,24585985,reg,False,GOOGL
2024-04-03T00:00:00Z,153.600000,154.920000,155.080000,152.730000,24704991,reg,False,GOOGL
2024-04-04T00:00:00Z,153.500000,150.530000,154.770000,150.450000,34724738,reg,False,GOOGL
2024-04-05T00:00:00Z,150.030000,152.500000,153.420000,149.600000,23459246,reg,False,GOOGL
2024-04-08T00:00:00Z,152.780000,154.850000,155.270000,152.610000,20701974,reg,False,GOOGL
2024-04-09T00:00:00Z,156.085000,156.600000,158.560000,155.190000,31113013,reg,False,GOOGL
2024-04-10T00:00:00Z,156.210000,156.140000,156.610000,154.680000,22838629,reg,False,GOOGL
