cover,title,author,binding,list_price,price,stock,isbn,publisher,publication_date,size,categories
https://images.bookdepot.com/covers/large/isbn978125/9781250623904-l.jpg,"UN-NAPPILY IN LOVE (NAPPILY, BK. 6)","Thomas, Trisha R.",Paperback,$9.99,$1.75 $1.25,57,9781250623904,St. Martin's Griffin,N/A,"8.28"" l x 5.36"" w x 0.86""","['Fiction', 'African American', 'Fiction', 'Romance']"
https://images.bookdepot.com/covers/large/isbn978071/9780718080228-l.jpg,UNA TENTACION PARA EL DUQUE,"Heath, Lorraine",Paperback,$14.99,$2.50,13,9780718080228,HarperCollins Publishers,N/A,"8.38"" l x 5.08"" w x 1.11""","['Fiction', 'Romance', 'Fiction', 'Historical']"
https://images.bookdepot.com/covers/large/isbn978006/9780062895394-l.jpg,THE UNBREAKABLES,"Barr, Lisa",Paperback,$16.99,$3.00 $1.87,25,9780062895394,HarperCollins Publishers,N/A,"8.00"" l x 5.50"" w x 1.00""","['Fiction', 'Family Life', 'Fiction', 'Romance']"
https://images.bookdepot.com/covers/large/isbn978042/9780425273692-l.jpg,"UNBROKEN (SILVER CREEK, BK. 4)","Yates, Maisey",Pocket Books,$8.99,$2.25 $2.00,1,9780425273692,Berkley Publishing Group,N/A,"6.82"" l x 4.17"" w x 1.00""","['Fiction', 'Romance']"
https://images.bookdepot.com/covers/large/isbn978051/9780515147735-l.jpg,"UNDEAD AND UNWORTHY (QUEEN BETSY, BK. 7)","Davidson, MaryJanice",Pocket Books,$7.99,$2.00 $1.12,23,9780515147735,Jove Books,N/A,"6.75"" l x 4.18"" w x 0.93""","['Fiction', 'Romance', 'Fiction', 'Fantasy']"
https://images.bookdepot.com/covers/large/isbn978125/9781250219343-l.jpg,UNDER CURRENTS,"Roberts, Nora",Compact Disc,$24.99,$4.25,8,9781250219343,Macmillan Audio,N/A,"6.00"" l x 5.50"" w x 0.50""","['Fiction', 'Romance', 'Fiction', 'Thrillers']"
https://images.bookdepot.com/covers/large/isbn978125/9781250781383-l.jpg,UNDER CURRENTS,"Roberts, Nora",Pocket Books,$8.99,$2.25 $1.69,17,9781250781383,St. Martin's Press,N/A,"6.72"" l x 4.09"" w x 1.49""","['Fiction', 'Romance', 'Fiction', 'Thrillers', 'Fiction', ""Women's Fiction""]"
https://images.bookdepot.com/covers/large/isbn978080/9780800737979-l.jpg,"UNDER FIRE (DEFEND AND PROTECT, BK. 3)","Blackburn, Lynn H.",Paperback,$16.99,$3.00,53,9780800737979,Revell,N/A,"8.44"" l x 5.45"" w x 1.06""","['Fiction', 'Romance', 'Fiction', 'Suspense']"
https://images.bookdepot.com/covers/large/isbn978125/9781250793386-l.jpg,UNDER THE GOLDEN SUN,"Ashcroft, Jenny",Paperback,$18.00,$3.00 $2.25,191,9781250793386,St. Martin's Griffin,N/A,"8.98"" l x 5.65"" w x 1.02""","['Fiction', 'Historical', 'Fiction', 'Romance', 'Fiction', 'War & Military']"
https://images.bookdepot.com/covers/large/isbn978076/9780764237355-l.jpg,"UNDER THE STARRY SKIES (LOVE ON THE SANTA FE, BK. 3)","Peterson, Tracie",Paperback,$16.99,$3.00 $2.87,2,9780764237355,Bethany House,N/A,"8.53"" l x 5.57"" w x 1.00""","['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', 'Religious']"
https://images.bookdepot.com/covers/large/isbn978125/9781250122834-l.jpg,"THE UNDERCOVER BILLIONAIRE (TATE BROTHERS, BK. 3)","Ashenden, Jackie",Pocket Books,$7.99,$2.00 $1.00,14,9781250122834,St. Martin's Publishing,N/A,"6.72"" l x 4.15"" w x 0.95""","['Fiction', 'Romance', 'Fiction', 'War & Military']"
https://images.bookdepot.com/covers/large/isbn978076/9780764235153-l.jpg,"UNFAILING LOVE (WHEN HOPE CALLS, BK. 3)","Oke, Janette",Paperback,$16.99,$3.00,2,9780764235153,Bethany House,N/A,"8.53"" l x 5.61"" w x 1.04""","['Fiction', 'Romance', 'Fiction', 'Religious', 'Fiction', 'Historical']"
https://images.bookdepot.com/covers/large/isbn978034/9780349702308-l.jpg,UNGRATEFUL,"Chadwick, Angela",Hardcover,$23.37,$3.00,18,9780349702308,Dialogue Books,N/A,"9.41"" l x 6.22"" w x 1.48""","['Fiction', 'Contemporary', 'Fiction', 'Romance']"
https://images.bookdepot.com/covers/large/isbn978006/9780063296480-l.jpg,"UNLADYLIKE LESSONS IN LOVE (THE MARLEIGH SISTERS, BK. 1)","Murray, Amita",Paperback,$18.99,$3.25 $1.63,183,9780063296480,Avon Books,N/A,"7.94"" l x 5.26"" w x 0.93""","['Fiction', 'Romance', 'Fiction', 'Mystery & Detective']"
https://images.bookdepot.com/covers/large/isbn978059/9780593437414-l.jpg,UNLEASHED HOLIDAY,"Schade, Victoria",Paperback,$17.00,$3.00,761,9780593437414,Berkley Publishing Group,N/A,"7.91"" l x 5.22"" w x 0.87""","['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', 'Animals']"
https://images.bookdepot.com/covers/large/isbn978080/9780800736484-l.jpg,"UNTIL I MET YOU (RESTORING HERITAGE, BK. 2)","Faris, Tari",Paperback,$14.99,$2.50 $1.25,18,9780800736484,Revell,N/A,"8.49"" l x 5.42"" w x 0.94""","['Fiction', 'Romance', 'Fiction', 'Contemporary']"
https://images.bookdepot.com/covers/large/isbn978153/9781538738047-l.jpg,UNTIL WE MEET,"Di Maio, Camille",Paperback,$15.99,$2.75 $1.00,374,9781538738047,Forever,N/A,"7.99"" l x 5.30"" w x 1.20""","['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', 'War & Military']"
https://images.bookdepot.com/covers/large/isbn978166/9781668019498-l.jpg,"UNTRACEABLE (TRACERS, BK. 1)","Griffin, Laura",Pocket Books,$9.99,$2.50,7,9781668019498,Pocket Books,N/A,"7.49"" l x 4.17"" w x 1.03""","['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', 'Suspense']"
https://images.bookdepot.com/covers/large/isbn978006/9780063286399-l.jpg,THE VALENTINE'S HATE,"Halston, Sidney",Paperback,$16.99,$3.00 $1.50,1000+,9780063286399,Avon Books,N/A,"8.10"" l x 5.33"" w x 0.70""","['Fiction', 'Romance', 'Fiction', 'Holidays', 'Fiction', 'Humorous']"
https://images.bookdepot.com/covers/large/isbn978059/9780593546154-l.jpg,VALLEY VERIFIED,"Zhao, Kyla",Paperback,$17.00,$3.00,515,9780593546154,Berkley Publishing Group,N/A,"8.05"" l x 5.17"" w x 0.89""","['Fiction', 'Romance', 'Fiction', 'Cultural Heritage', 'Fiction', 'Coming of Age']"
https://images.bookdepot.com/covers/large/isbn978125/9781250773395-l.jpg,VANESSA JARED'S GOT A MAN,Laquette,Paperback,$16.99,$3.00 $2.25,214,9781250773395,St. Martin's Griffin,N/A,"8.20"" l x 5.34"" w x 0.88""","['Fiction', 'Romance', 'Fiction', 'Humorous']"
https://images.bookdepot.com/covers/large/isbn978198/9781982141301-l.jpg,THE VANISHED QUEEN,"Campbell, Lisbeth",Paperback,$17.99,$3.00,127,9781982141301,Saga Press,N/A,"8.36"" l x 5.44"" w x 1.27""","['Fiction', 'Fantasy', 'Fiction', 'Romance', 'Fiction', 'Contemporary']"
https://images.bookdepot.com/covers/large/isbn978198/9781984806437-l.jpg,"THE VANISHING (FOGG LAKE, BK. 1)","Krentz, Jayne Ann",Hardcover,$27.00,$3.50 $1.75,200,9781984806437,Berkley Hardcover,N/A,"9.25"" l x 6.33"" w x 1.11""","['Fiction', 'Romance', 'Fiction', 'Suspense']"
https://images.bookdepot.com/covers/large/isbn978059/9780593546697-l.jpg,VANISHING HOUR,"Griffin, Laura",Pocket Books,$8.99,$2.25 $1.50,180,9780593546697,Berkley Publishing Group,N/A,"6.73"" l x 3.87"" w x 0.98""","['Fiction', 'Thrillers', 'Fiction', 'Mystery & Detective', 'Fiction', 'Romance']"
https://images.bookdepot.com/covers/large/isbn978006/9780063297821-l.jpg,VARINA PALLADINO'S JERSEY ITALIAN LOVE STORY (LARGE PRINT),"DeFino, Terri-Lynne",Paperback,$36.00,$6.25 $3.13,148,9780063297821,HarperLuxe,N/A,"8.96"" l x 5.91"" w x 1.35""","['Fiction', 'Romance', 'Fiction', 'Family Life']"
https://images.bookdepot.com/covers/large/isbn978054/9780544947276-l.jpg,THE VERSIONS OF US,"Barnett, Laura",Paperback,$15.99,$2.75,17,9780544947276,Mariner Books,N/A,"7.97"" l x 5.26"" w x 1.18""","['Fiction', 'Romance', 'Fiction', 'Historical']"
https://images.bookdepot.com/covers/large/isbn978059/9780593332795-l.jpg,"A VERY MERRY BROMANCE (BROMANCE BOOK CLUB, BK. 5)","Adams, Lyssa Kay",Paperback,$17.00,$3.00 $2.25,802,9780593332795,Berkley Publishing Group,N/A,"8.50"" l x 5.50"" w x 1.00""","['Fiction', 'Romance', 'Fiction', 'Holidays']"
https://images.bookdepot.com/covers/large/isbn978035/9780358540113-l.jpg,THE VERY NICE BOX,"Gleichman, Eve",Hardcover,$25.00,$3.25 $2.25,13,9780358540113,Houghton Mifflin Harcourt,N/A,"8.52"" l x 5.81"" w x 1.32""","['Fiction', 'Humorous', 'Fiction', 'Romance', 'Fiction', 'Suspense']"
